Order ID,Order Date,Customer,City,Country,Product Name,Product Category,Unit Price,Quantity,Discount,Freight,Sales Rep
10248,7/4/1996,Vins et alcools Chevalier,Reims,France,Queso Cabrales,Dairy Products,14,12,0,32.38,Steven Buchanan
10248,7/4/1996,Vins et alcools Chevalier,Reims,France,Singaporean Hokkien Fried Mee,Grains/Cereals,9.8,10,0,32.38,Steven Buchanan
10248,7/4/1996,Vins et alcools Chevalier,Reims,France,Mozzarella di Giovanni,Dairy Products,34.8,5,0,32.38,Steven Buchanan
10249,7/5/1996,Toms Spezialitäten,Münster,Germany,Tofu,Produce,18.6,9,0,11.61,Michael Suyama
10249,7/5/1996,Toms Spezialitäten,Münster,Germany,Manjimup Dried Apples,Produce,42.4,40,0,11.61,Michael Suyama
10250,7/8/1996,Hanari Carnes,Rio de Janeiro,Brazil,Jack's New England Clam Chowder,Seafood,7.7,10,0,65.83,Margaret Peacock
10250,7/8/1996,Hanari Carnes,Rio de Janeiro,Brazil,Manjimup Dried Apples,Produce,42.4,35,0.15,65.83,Margaret Peacock
10250,7/8/1996,Hanari Carnes,Rio de Janeiro,Brazil,Louisiana Fiery Hot Pepper Sauce,Condiments,16.8,15,0.15,65.83,Margaret Peacock
10251,7/8/1996,Victuailles en stock,Lyon,France,Gustaf's Knäckebröd,Grains/Cereals,16.8,6,0.05,41.34,Janet Leverling
10251,7/8/1996,Victuailles en stock,Lyon,France,Ravioli Angelo,Grains/Cereals,15.6,15,0.05,41.34,Janet Leverling
10251,7/8/1996,Victuailles en stock,Lyon,France,Louisiana Fiery Hot Pepper Sauce,Condiments,16.8,20,0,41.34,Janet Leverling
10252,7/9/1996,Suprêmes délices,Charleroi,Belgium,Sir Rodney's Marmalade,Confections,64.8,40,0.05,51.3,Margaret Peacock
10252,7/9/1996,Suprêmes délices,Charleroi,Belgium,Geitost,Dairy Products,2,25,0.05,51.3,Margaret Peacock
10252,7/9/1996,Suprêmes délices,Charleroi,Belgium,Camembert Pierrot,Dairy Products,27.2,40,0,51.3,Margaret Peacock
10253,7/10/1996,Hanari Carnes,Rio de Janeiro,Brazil,Gorgonzola Telino,Dairy Products,10,20,0,58.17,Janet Leverling
10253,7/10/1996,Hanari Carnes,Rio de Janeiro,Brazil,Chartreuse verte,Beverages,14.4,42,0,58.17,Janet Leverling
10253,7/10/1996,Hanari Carnes,Rio de Janeiro,Brazil,Maxilaku,Confections,16,40,0,58.17,Janet Leverling
10254,7/11/1996,Chop-suey Chinese,Bern,Switzerland,Guaraná Fantástica,Beverages,3.6,15,0.15,22.98,Steven Buchanan
10254,7/11/1996,Chop-suey Chinese,Bern,Switzerland,Pâté chinois,Meat/Poultry,19.2,21,0.15,22.98,Steven Buchanan
10254,7/11/1996,Chop-suey Chinese,Bern,Switzerland,Longlife Tofu,Produce,8,21,0,22.98,Steven Buchanan
10255,7/12/1996,Richter Supermarkt,Genève,Switzerland,Chang,Beverages,15.2,20,0,148.33,Anne Dodsworth
10255,7/12/1996,Richter Supermarkt,Genève,Switzerland,Pavlova,Confections,13.9,35,0,148.33,Anne Dodsworth
10255,7/12/1996,Richter Supermarkt,Genève,Switzerland,Inlagd Sill,Seafood,15.2,25,0,148.33,Anne Dodsworth
10255,7/12/1996,Richter Supermarkt,Genève,Switzerland,Raclette Courdavault,Dairy Products,44,30,0,148.33,Anne Dodsworth
10256,7/15/1996,Wellington Importadora,Resende,Brazil,Perth Pasties,Meat/Poultry,26.2,15,0,13.97,Janet Leverling
10256,7/15/1996,Wellington Importadora,Resende,Brazil,Original Frankfurter grüne Soße,Condiments,10.4,12,0,13.97,Janet Leverling
10257,7/16/1996,HILARION-Abastos,San Cristóbal,Venezuela,Schoggi Schokolade,Confections,35.1,25,0,81.91,Margaret Peacock
10257,7/16/1996,HILARION-Abastos,San Cristóbal,Venezuela,Chartreuse verte,Beverages,14.4,6,0,81.91,Margaret Peacock
10257,7/16/1996,HILARION-Abastos,San Cristóbal,Venezuela,Original Frankfurter grüne Soße,Condiments,10.4,15,0,81.91,Margaret Peacock
10258,7/17/1996,Ernst Handel,Graz,Austria,Chang,Beverages,15.2,50,0.2,140.51,Nancy Davolio
10258,7/17/1996,Ernst Handel,Graz,Austria,Chef Anton's Gumbo Mix,Condiments,17,65,0.2,140.51,Nancy Davolio
10258,7/17/1996,Ernst Handel,Graz,Austria,Mascarpone Fabioli,Dairy Products,25.6,6,0.2,140.51,Nancy Davolio
10259,7/18/1996,Centro comercial Moctezuma,México D.F.,Mexico,Sir Rodney's Scones,Confections,8,10,0,3.25,Margaret Peacock
10259,7/18/1996,Centro comercial Moctezuma,México D.F.,Mexico,Gravad lax,Seafood,20.8,1,0,3.25,Margaret Peacock
10260,7/19/1996,Ottilies Käseladen,Köln,Germany,Jack's New England Clam Chowder,Seafood,7.7,16,0.25,55.09,Margaret Peacock
10260,7/19/1996,Ottilies Käseladen,Köln,Germany,Ravioli Angelo,Grains/Cereals,15.6,50,0,55.09,Margaret Peacock
10260,7/19/1996,Ottilies Käseladen,Köln,Germany,Tarte au sucre,Confections,39.4,15,0.25,55.09,Margaret Peacock
10260,7/19/1996,Ottilies Käseladen,Köln,Germany,Outback Lager,Beverages,12,21,0.25,55.09,Margaret Peacock
10261,7/19/1996,Que Delícia,Rio de Janeiro,Brazil,Sir Rodney's Scones,Confections,8,20,0,3.05,Margaret Peacock
10261,7/19/1996,Que Delícia,Rio de Janeiro,Brazil,Steeleye Stout,Beverages,14.4,20,0,3.05,Margaret Peacock
10262,7/22/1996,Rattlesnake Canyon Grocery,Albuquerque,USA,Chef Anton's Gumbo Mix,Condiments,17,12,0.2,48.29,Laura Callahan
10262,7/22/1996,Rattlesnake Canyon Grocery,Albuquerque,USA,Uncle Bob's Organic Dried Pears,Produce,24,15,0,48.29,Laura Callahan
10262,7/22/1996,Rattlesnake Canyon Grocery,Albuquerque,USA,Gnocchi di nonna Alice,Grains/Cereals,30.4,2,0,48.29,Laura Callahan
10263,7/23/1996,Ernst Handel,Graz,Austria,Pavlova,Confections,13.9,60,0.25,146.06,Anne Dodsworth
10263,7/23/1996,Ernst Handel,Graz,Austria,Guaraná Fantástica,Beverages,3.6,28,0,146.06,Anne Dodsworth
10263,7/23/1996,Ernst Handel,Graz,Austria,Nord-Ost Matjeshering,Seafood,20.7,60,0.25,146.06,Anne Dodsworth
10263,7/23/1996,Ernst Handel,Graz,Austria,Longlife Tofu,Produce,8,36,0.25,146.06,Anne Dodsworth
10264,7/24/1996,Folk och fä HB,Bräcke,Sweden,Chang,Beverages,15.2,35,0,3.67,Michael Suyama
10264,7/24/1996,Folk och fä HB,Bräcke,Sweden,Jack's New England Clam Chowder,Seafood,7.7,25,0.15,3.67,Michael Suyama
10265,7/25/1996,Blondesddsl père et fils,Strasbourg,France,Alice Mutton,Meat/Poultry,31.2,30,0,55.28,Andrew Fuller
10265,7/25/1996,Blondesddsl père et fils,Strasbourg,France,Outback Lager,Beverages,12,20,0,55.28,Andrew Fuller
10266,7/26/1996,Wartian Herkku,Oulu,Finland,Queso Manchego La Pastora,Dairy Products,30.4,12,0.05,25.73,Janet Leverling
10267,7/29/1996,Frankenversand,München,Germany,Boston Crab Meat,Seafood,14.7,50,0,208.58,Margaret Peacock
10267,7/29/1996,Frankenversand,München,Germany,Raclette Courdavault,Dairy Products,44,70,0.15,208.58,Margaret Peacock
10267,7/29/1996,Frankenversand,München,Germany,Lakkalikööri,Beverages,14.4,15,0.15,208.58,Margaret Peacock
10268,7/30/1996,GROSELLA-Restaurante,Caracas,Venezuela,Thüringer Rostbratwurst,Meat/Poultry,99,10,0,66.29,Laura Callahan
10268,7/30/1996,GROSELLA-Restaurante,Caracas,Venezuela,Mozzarella di Giovanni,Dairy Products,27.8,4,0,66.29,Laura Callahan
10269,7/31/1996,White Clover Markets,Seattle,USA,Geitost,Dairy Products,2,60,0.05,4.56,Steven Buchanan
10269,7/31/1996,White Clover Markets,Seattle,USA,Mozzarella di Giovanni,Dairy Products,27.8,20,0.05,4.56,Steven Buchanan
10270,8/1/1996,Wartian Herkku,Oulu,Finland,Inlagd Sill,Seafood,15.2,30,0,136.54,Nancy Davolio
10270,8/1/1996,Wartian Herkku,Oulu,Finland,Ipoh Coffee,Beverages,36.8,25,0,136.54,Nancy Davolio
10271,8/1/1996,Split Rail Beer & Ale,Lander,USA,Geitost,Dairy Products,2,24,0,4.54,Michael Suyama
10272,8/2/1996,Rattlesnake Canyon Grocery,Albuquerque,USA,Sir Rodney's Marmalade,Confections,64.8,6,0,98.03,Michael Suyama
10272,8/2/1996,Rattlesnake Canyon Grocery,Albuquerque,USA,Gorgonzola Telino,Dairy Products,10,40,0,98.03,Michael Suyama
10272,8/2/1996,Rattlesnake Canyon Grocery,Albuquerque,USA,Mozzarella di Giovanni,Dairy Products,27.8,24,0,98.03,Michael Suyama
10273,8/5/1996,QUICK-Stop,Cunewalde,Germany,Ikura,Seafood,24.8,24,0.05,76.07,Janet Leverling
10273,8/5/1996,QUICK-Stop,Cunewalde,Germany,Gorgonzola Telino,Dairy Products,10,15,0.05,76.07,Janet Leverling
10273,8/5/1996,QUICK-Stop,Cunewalde,Germany,Geitost,Dairy Products,2,20,0,76.07,Janet Leverling
10273,8/5/1996,QUICK-Stop,Cunewalde,Germany,Boston Crab Meat,Seafood,14.7,60,0.05,76.07,Janet Leverling
10273,8/5/1996,QUICK-Stop,Cunewalde,Germany,Lakkalikööri,Beverages,14.4,33,0.05,76.07,Janet Leverling
10274,8/6/1996,Vins et alcools Chevalier,Reims,France,Flotemysost,Dairy Products,17.2,20,0,6.01,Michael Suyama
10274,8/6/1996,Vins et alcools Chevalier,Reims,France,Mozzarella di Giovanni,Dairy Products,27.8,7,0,6.01,Michael Suyama
10275,8/7/1996,Magazzini Alimentari Riuniti,Bergamo,Italy,Guaraná Fantástica,Beverages,3.6,12,0.05,26.93,Nancy Davolio
10275,8/7/1996,Magazzini Alimentari Riuniti,Bergamo,Italy,Raclette Courdavault,Dairy Products,44,6,0.05,26.93,Nancy Davolio
10276,8/8/1996,Tortuga Restaurante,México D.F.,Mexico,Ikura,Seafood,24.8,15,0,13.84,Laura Callahan
10276,8/8/1996,Tortuga Restaurante,México D.F.,Mexico,Konbu,Seafood,4.8,10,0,13.84,Laura Callahan
10277,8/9/1996,Morgenstern Gesundkost,Leipzig,Germany,Rössle Sauerkraut,Produce,36.4,20,0,125.77,Andrew Fuller
10277,8/9/1996,Morgenstern Gesundkost,Leipzig,Germany,Tarte au sucre,Confections,39.4,12,0,125.77,Andrew Fuller
10278,8/12/1996,Berglunds snabbköp,Luleå,Sweden,Gula Malacca,Condiments,15.5,16,0,92.69,Laura Callahan
10278,8/12/1996,Berglunds snabbköp,Luleå,Sweden,Raclette Courdavault,Dairy Products,44,15,0,92.69,Laura Callahan
10278,8/12/1996,Berglunds snabbköp,Luleå,Sweden,Vegie-spread,Condiments,35.1,8,0,92.69,Laura Callahan
10278,8/12/1996,Berglunds snabbköp,Luleå,Sweden,Röd Kaviar,Seafood,12,25,0,92.69,Laura Callahan
10279,8/13/1996,Lehmanns Marktstand,Frankfurt a.M.,Germany,Alice Mutton,Meat/Poultry,31.2,15,0.25,25.83,Laura Callahan
10280,8/14/1996,Berglunds snabbköp,Luleå,Sweden,Guaraná Fantástica,Beverages,3.6,12,0,8.98,Andrew Fuller
10280,8/14/1996,Berglunds snabbköp,Luleå,Sweden,Pâté chinois,Meat/Poultry,19.2,20,0,8.98,Andrew Fuller
10280,8/14/1996,Berglunds snabbköp,Luleå,Sweden,Rhönbräu Klosterbier,Beverages,6.2,30,0,8.98,Andrew Fuller
10281,8/14/1996,Romero y tomillo,Madrid,Spain,Teatime Chocolate Biscuits,Confections,7.3,1,0,2.94,Margaret Peacock
10281,8/14/1996,Romero y tomillo,Madrid,Spain,Guaraná Fantástica,Beverages,3.6,6,0,2.94,Margaret Peacock
10281,8/14/1996,Romero y tomillo,Madrid,Spain,Steeleye Stout,Beverages,14.4,4,0,2.94,Margaret Peacock
10282,8/15/1996,Romero y tomillo,Madrid,Spain,Nord-Ost Matjeshering,Seafood,20.7,6,0,12.69,Margaret Peacock
