OrderID,OrderDate,ShippedDate,CustomerID,Freight
10421,1997-01-21,1997-01-27,QUEDE,$99.23
10272,1996-08-02,1996-08-06,RATTC,$98.03
10623,1997-08-07,1997-08-12,FRANK,$97.18
10801,1997-12-29,1997-12-31,BOLID,$97.09
10595,1997-07-10,1997-07-14,ERNSH,$96.78
10557,1997-06-03,1997-06-06,LEHMS,$96.72
10731,1997-11-06,1997-11-14,CHOPS,$96.65
10686,1997-09-30,1997-10-08,PICCO,$96.50
10773,1997-12-11,1997-12-16,ERNSH,$96.43
10999,1998-04-03,1998-04-10,OTTIK,$96.35
10362,1996-11-25,1996-11-28,BONAP,$96.04
10672,1997-09-17,1997-09-26,BERGS,$95.75
10413,1997-01-14,1997-01-16,LAMAI,$95.66
10624,1997-08-07,1997-08-19,THECR,$94.80
10382,1996-12-13,1996-12-16,ERNSH,$94.77
10387,1996-12-18,1996-12-20,SANTG,$93.63
10653,1997-09-02,1997-09-19,FRANK,$93.25
10278,1996-08-12,1996-08-16,BERGS,$92.69
10519,1997-04-28,1997-05-01,CHOPS,$91.76
10985,1998-03-30,1998-04-02,HUNGO,$91.51
10407,1997-01-07,1997-01-30,OTTIK,$91.48
10772,1997-12-10,1997-12-19,LEHMS,$91.28
10619,1997-08-04,1997-08-07,MEREP,$91.05
10884,1998-02-12,1998-02-13,LETSS,$90.97
10828,1998-01-13,1998-02-04,RANCH,$90.85
10556,1997-06-03,1997-06-13,SIMOB,$9.80
10720,1997-10-28,1997-11-05,QUEDE,$9.53
10445,1997-02-13,1997-02-20,BERGS,$9.30
10843,1998-01-21,1998-01-26,VICTE,$9.26
10435,1997-02-04,1997-02-07,CONSH,$9.21
10907,1998-02-25,1998-02-27,SPECD,$9.19
10372,1996-12-04,1996-12-09,QUEEN,$890.78
10712,1997-10-21,1997-10-31,HUNGO,$89.93
10727,1997-11-03,1997-12-05,REGGC,$89.90
10398,1996-12-30,1997-01-09,SAVEA,$89.16
10464,1997-03-04,1997-03-14,FURIB,$89.00
10566,1997-06-12,1997-06-18,BLONP,$88.40
10880,1998-02-10,1998-02-18,FOLKO,$88.01
10964,1998-03-20,1998-03-24,SPECD,$87.38
10328,1996-10-14,1996-10-17,FURIB,$87.03
10440,1997-02-10,1997-02-28,SAVEA,$86.53
11059,1998-04-29,NULL,RICAR,$85.80
